,Scientific.Discipline,Title,First.Name,Middle.Name,Last.Name,Suffix,Citation,Full.Name,,Wiki.page,Gender,Page.Year,page.creator (partial data)
16,History & Philosophy of Science,Prof.,Conevery,Bolton,Valencius,,"For outstanding contributions to the history of seismology and American health and the environment, and for excellence in communicating history of science to the public.",Conevery Valencius,,FALSE,f,,
17,Chemistry  ,Prof.,Mark,W.,Grinstaff,,For distinguished contributions in polymer chemistry and biomacromolecular constructs with global therapeutic impact and establishment of a nationally recognized NIH training program in translational research.,Mark Grinstaff,,FALSE,m,,
18,Physics ,Prof.,Abhay,,Deshpande,,"For key contributions to the determination of the spin composition of the nucleon, and for leadership in the development of the science program of the Electron Ion Collider.",Abhay Deshpande,,FALSE,m,,
19,Mathematics,Dr.,Dan,,Abramovich,,"For distinguished contributions to arithmetic and algebraic geometry, and for exemplary graduate student mentorship.",Dan Abramovich,,TRUE,m,2017,
20,Medical Sciences,Prof.,Walter,J.,Atwood,,"For distinguished contributions to molecular virology, particularly for making seminal discoveries regarding the processes by which polyomaviruses infect cells and cause human disease",Walter Atwood,,FALSE,m,,
21,Neuroscience,Dr.,Anne,Church,Hart,,"For distinguished contributions using C. elegans to delineate molecular mechanisms underlying sleep and neurodegenerative disease pathology, including Huntington's disease, Spinal Muscular Atrophy, Amyotrophic Lateral Sclerosis and Frontal Temporal Dementia.",Anne Hart,,FALSE,f,,
22,Mathematics,Dr.,Jill,C.,Pipher,,"For profound contributions to analysis and partial differential equations, groundbreaking work in public key cryptography, and outstanding scientific leadership.",Jill Pipher,,TRUE,f,2011,
23,Chemistry  ,Prof.,Ming,,Xian,,For distinguished contributions to the chemistry and chemical biology of reactive sulfur species.,Ming Xian,,FALSE,m,,
24,Medical Sciences,Dr.,William,G.,Dunphy,,For elucidating the complex network of enzymes that commit a cell to mitosis – critical information for understanding DNA replication and preservation of genomic integrity.,William Dunphy,,FALSE,m,,
25,Neuroscience,Prof.,Viviana,,Gradinaru,,"For extraordinary achievements in bioengineering and neuroscience, including development and sharing of multiple novel tools to enable functional and anatomical access to the vertebrate nervous system.",Viviana Gradinaru,,TRUE,f,2020,(jesswade)
26,Chemistry  ,Dr.,Stephen,L.,Mayo,,For distinguished contributions to the field of protein design technology.,Stephen Mayo,,TRUE,m,2016,
27,Atmospheric & Hydrospheric Sciences,Prof.,Paul,O.,Wennberg,,For major scientific advances in atmospheric chemistry.,Paul Wennberg,,TRUE,m,2010,
28,Geology & Geography,Dr.,Mary,Elizabeth,Savina,,"For outstanding innovation in geoscience education, and for distinguished leadership on national initiatives to build research-based resources and professional development opportunities for geoscience and STEM education.",Mary Savina,,FALSE,f,,
29,Biological Sciences,Dr.,Joseph,A.,Berry,,"For distinguished contributions to the fields of plant eco-physiology, geochemistry and biospheric sciences, particularly for theoretical and experimental work that is foundational to carbon cycle models",Joseph Berry,,FALSE,m,,
30,Societal Impacts of Science & Engineering,Dr.,Baruch,,Fischhoff,,"For distinguished contributions to the fields of risk, judgement, and decision-making, including his pioneering research on hindsight bias.",Baruch Fischhoff,,TRUE,m,2015,
31,"Information, Computing & Communication ",Prof.,Ramayya,,Krishnan,,"For extraordinary multi-disciplinary scholarship, educational innovation, public policy contributions and institutional leadership in the field of information and decision analytic systems.",Ramayya Krishnan,,TRUE,m,2012,
32,"Information, Computing & Communication ",Prof.,Tuomas,,Sandholm,,"For distinguished contributions at the intersection of artificial intelligence, economics and operations research, especially in the context of organ exchanges and imperfect information games.",Tuomas Sandholm,,FALSE,m,,
33,History & Philosophy of Science,Dr.,Wilfried,,Sieg,,For distinguished work in the philosophy of mathematics and logic.,Wilfried Sieg,,FALSE,m,,
34,Medical Sciences,Prof.,Neil,S.,Greenspan,,"For distinguished contributions to the understanding of antibody specificity and function and conceptual insights into aspects of immunity, microbiology, biophysics, genetics, and evolutionary medicine.",Neil Greenspan,,TRUE,m,,
35,Education,Dr.,Anne,E.,Egger,,For distinguished contributions to geoscience education and her leadership and service to the geoscience education community.,Anne Egger,,FALSE,f,,
36,Biological Sciences,Dr.,Michael,Edward,Hochberg,,"For distinguished contributions to understanding complex eco-evolutionary systems, from host-pathogen coevolution, to cooperation, to ecological perspectives on cancer and antibiotic resistance, and creation of Ecology Letters, a game-changing journal",Michael Hochberg,,TRUE,m,2015,
37,Engineering,Dr.,Bjorn,Ingemar,Johansson,,"For distinguished contributions to the field of sustainable production, particularly regarding environmental impact reduction methods and standards towards circular economy and resilience.",Bjorn Johansson,,FALSE,m,,
38,Societal Impacts of Science & Engineering,Ms.,Tania,,Simoncelli,,"For remarkable, high-impact contributions to developing strategies and policies for improving the public value of science at the nexus of science, technology, biomedicine, law and ethics.",Tania Simoncelli,,TRUE,f,2009,
39,Neuroscience,Dr.,Nathan,Anthony,Smith,,For innovative research on the role of astrocytes and microglia in calcium dependent and independent  processing in partnership with norepinephrine in modulating synaptic plasticity in normal and disease states.,Nathan Smith,,FALSE,m,,
40,Neuroscience,Dr.,Huaxi,,Xu,,"For distinguished contributions to improving our understanding of the cell and molecular biology of neurodegeneration and Alzheimer's disease, including co-founding and being the co-editor in chief of Molecular Neurodegeneration. ",Huaxi Xu,,FALSE,m,,
41,Education,Dr.,Margaret,Somosi,Saha,,For distinguished leadership in science education transformation at undergraduate institutions and for service to K -12 teachers and students.,Margaret Saha,,FALSE,f,,
42,Geology & Geography,Prof.,Richard,,Aster,,"For distinguished contributions to earthquake and volcano seismology, seismic imaging, inverse problems, signal processing, cryospheric and fluvial seismology, Antarctic geophysics and seismological instrumentation, as well as exemplary service to the community",Richard Aster,,TRUE,m,,
43,Medical Sciences,Dr.,Rajinder,S.,Ranu,,"For distinguished contributions to molecular biology, particularly in discovery and characterization of factors involved in protein synthesis, and for working to increase diversity in the student population in his institution.",Rajinder Ranu,,TRUE,m,,
44,Geology & Geography,Prof.,Nicholas,,Christie-Blick,,"For distinguished research in sedimentary geology, tectonics and sea level change, and for outstanding teaching of undergraduates in geology.",Nicholas Christie-Blick,,TRUE,m,,
45,Pharmaceutical Sciences,Prof.,Gary,W.,Miller,,"For distinguished contributions to the fields of pharmacology, toxicology, and neuroscience, particularly to the understanding of neurotransmitter storage, Parkinson’s Disease, and the importance of environmental factors in disease development.",Gary Miller,,FALSE,m,,
46,Chemistry  ,Prof.,Gerard,,Parkin,,"For creative research contributions to synthetic, structural, and mechanistic inorganic chemistry, and for impactful pedagogical advances for the teaching of bonding in coordination chemistry.",Gerard Parkin,,TRUE,m,2007,
47,Biological Sciences,Prof.,Dustin,,Rubenstein,,For outstanding contributions to our understanding of avian social behavior and adaptation to harsh environments.,Dustin Rubenstein,,TRUE,m,,
48,Medical Sciences,Dr.,Michael,M.,Shen,,"For distinguished contributions to developmental and cancer biology, particularly for applying the principles of developmental genetics to the study of genitourinary malignancies.",Michael Shen,,TRUE,m,,
49,Biological Sciences,Prof.,Marty,A.,Condon,,For advances in our understanding of cryptic neotropical diversity in plant-parasite systems and for innovative teaching at all levels and service to the scientific community.,Marty Condon,,FALSE,m,,
50,"Information, Computing & Communication",Prof.,Claire,,Cardie,,"For leadership in the use of statistical methods in natural language processing, specifically in reference resolution, information extraction, and subjectivity classification.",Claire Cardie,,TRUE,f,2019,David Eppstein
51,Biological Sciences,Prof.,Paula,E.,Cohen,,"For distinguished contributions to the fields of meiosis and germ cell development, by promoting use of mouse and other models to understand meiotic recombination and the etiology of human aneuploidy.",Paula Cohen,,FALSE,f,,
52,Biological Sciences,Prof.,Jun,(Kelly),Liu,,"For distinguished contributions to the field of developmental biology, particularly using the nematode worm to elucidate components of the BMP signaling pathway.",Jun Liu,,FALSE,m,,
53,"Agriculture, Food & Renewable Resources",Dr.,Prabhu,,Pingali,,"For distinguished contributions to the field of agricultural and applied economics, particularly for his work on agricultural development and food systems improvements.",Prabhu Pingali,,TRUE,m,2020,
54,Engineering,Prof.,Chris,B.,Schaffer,,"For distinguished contributions to the development of new optical techniques for biomedical research, particularly using these tools to study cellular interactions and dynamics in the central nervous system.",Chris Schaffer,,FALSE,m,,
55,Engineering,Dr.,Huili,Grace,Xing,,"For distinguished contributions to the field of semiconductors and devices, particularly for polar wide bandgap semiconductors, 2D semiconductors, layered crystals, innovative doping and contacts in these materials.",Huili Xing,,FALSE,f,,
56,Physics ,Prof.,J.C. Séamus,,Davis,,"For seminal contributions to experimental low-temperature and condensed matter physics, particularly for quantum interference in superfluid 3He, the invention of low temperature spectroscopic STM imaging, and studies of cuprate superconductivity.",J.C. Séamus Davis,,TRUE,m,2017,
57,"Agriculture, Food & Renewable Resources",Dr.,Gabriela,Del Carmen,Chavarria,,For distinguished contributions to our understanding of the complexity and challenges of the issues impacting ecosystem sustainability and for her visionary leadership in conservation programs and public education.,Gabriela Chavarria,,FALSE,f,,
58,"Agriculture, Food & Renewable Resources",Dr.,Julie,,Jastrow,,"For distinguished contributions to understanding plant-microbe-soil interactions, and for dedicated service to the field of soil science.",Julie Jastrow,,FALSE,f,,
59,Physics ,Dr.,Robert,Howard,Bernstein,,"For distinguished contributions to experimental particle physics, particularly to the study of  neutrinos and muons, and to the design and construction of  experiments to investigate charged lepton flavor violation.",Robert Bernstein,,TRUE,m,,
60,Physics ,Dr.,Chandrashekhara,,Bhat,,"For distinguished contributions to the field of accelerator physics, particularly for new methods for manipulating the phase space of particle beams and increasing their intensities at high energy accelerators.",Chandrashekhara Bhat,,FALSE,m,,
61,Industrial Science & Technology,Dr.,Babetta,L.,Marrone,,For distinguished contributions of multidisciplinary experimental and computational approaches that provide life science solutions to energy and national security applications.,Babetta Marrone,,FALSE,f,,
62,Chemistry  ,Dr.,Thomas,Mark,McCleskey,,"For the development of polymer assisted deposition of thin film coatings, for the elucidation of a new paradigm in beryllium binding, and for enlightened chemistry leadership at a national laboratory.",Thomas McCleskey,,FALSE,m,,
63,Chemistry  ,Dr.,Harshini,,Mukundan,,"For pioneering the understanding of the biochemistry of interactions between pathogen amphiphiles and host lipoproteins, and development of novel spectroscopic assay modalities for their detection.",Harshini Mukundan,,FALSE,f,,
64,Industrial Science & Technology,Dr.,Shaun,S.,Gleason,,For distinguished contributions in computer vision and data science and for exceptional organizational leadership resulting in scientific discoveries and industrial impact in the fields of biomedical and computational science.,Shaun Gleason,,FALSE,m,,
65,Physics ,Dr.,Mark,D.,Lumsden,,For outstanding contributions to the understanding of magnetism in iron-based superconductors and other quantum materials through application of neutron scattering techniques.,Mark Lumsden,,FALSE,m,,
66,Biological Sciences,Dr.,Mircea,,Podar,,For distinguished contributions to the fields of microbial metagenomics and single cell genomics and the application of novel technologies to the cultivation of microbes from diverse environments.,Mircea Podar,,FALSE,m,,
67,Biological Sciences,Dr.,Scott,E.,Baker,,"For distinguished contributions to the field of mycology, particularly for fungal biotechnology, genomics, and genetics related to metabolite production, enzyme secretion, and cell morphology.",Scott Baker,,FALSE,m,,
68,Industrial Science & Technology,Dr.,Babu,,Chalamala,,"For technical contributions and leadership in grid energy storage technology, his research contributions to electronic materials and devices, and committed service to the global science and engineering community.",Babu Chalamala,,TRUE,m,2017,
69,Education,Dr.,Sandra,,Urdaneta-Hartmann,,"For distinguished contributions to game-based learning and other emerging learning technologies in higher education, as well as creating career-oriented, interdisciplinary-based programs for students in biomedicine.",Sandra Urdaneta-Hartmann,,FALSE,f,,
70,Geology & Geography,Dr.,Paul,Arthur,Baker,,"For fundamental research contributions on the geochemistry of marine carbonates, history and dynamics of the South American summer monsoon system, and the geologic record of biodiversification in tropical South America.",Paul Baker,,TRUE,m,,
71,Mathematics,Dr.,Robert,,Bryant,,"For distinguished contributions to differential geometry and their applications to physics, and for extraordinary service to the mathematics profession.",Robert Bryant,,TRUE,m,2009,
72,Geology & Geography,Prof.,Emily,M.,Klein,,For distinguished contributions to understanding the formation of oceanic lithosphere throughout the world's oceans.,Emily Klein,,TRUE,f,2019,(jesswade)
73,Biological Sciences,Dr.,Lydia,,Olander,,"For distinguished contributions to the field of ecosystem services, particularly for developing and promulgating methods to enhance environmental sustainability.",Lydia Olander,,FALSE,f,,
74,"Agriculture, Food & Renewable Resources",Dr.,Tai-ping,,Sun,,"For distinguished contributions to the field of plant biology and agriculture, particularly to the understanding of the GA-DELLA signaling pathway and its functional significance for plant growth.",Tai-ping Sun,,FALSE,f,,
75,Biological Sciences,Prof.,Hanjoong,,Jo,,"For distinguished contributions to atherosclerosis research, especially in discovering the role of blood flow on endothelial dysfunction and atherosclerosis using novel animal models and cultured cells.",Hanjoong Jo,,FALSE,m,,
76,General Interest in Science & Engineering,Dr.,Erica,,Goldman,,"For substantial contributions to scientifically based environmental and other policy, both directly and by facilitating effective engagement of fellow scientists with policymakers and others.",Erica Goldman,,FALSE,f,,
77,Biological Sciences,Dr.,Christopher,P.,Austin,,For distinguished contributions to drug target development in the public sector and to translational sciences broadly.,Christopher Austin,,FALSE,m,,
78,Engineering,Dr.,Arvind,,Agarwal,,"For distinguished contributions to advanced materials, plasma spraying and carbon nanotube composites, biomechanics, bioengineering, nanotechnology, and graphene foam reinforced advanced materials for deicing which is of great benefit to aerodynamics.",Arvind Agarwal,,FALSE,m,,
79,Education,Prof.,Laird,,Kramer,,"For distinguished contributions to the field of education, particularly for contributions in STEM education research and institutional change that integrate evidence-based strategies to promote equitable outcomes for diverse learners.",Laird Kramer,,FALSE,m,,
80,Engineering,Dr.,Ranu,,Jung,,"For distinguished contributions in inspired technologies for humans for recovery and restoration of lost function, and development of the first wireless, implantable, intraneural-interface system for haptic restoration on upper-limb amputation.",Ranu Jung,,FALSE,f,,
81,Biological Sciences,Dr.,Brian,D.,Inouye,,"For distinguished contributions to the field of ecology, particularly for theoretical and empirical work on population dynamics and species interactions.",Brian Inouye,,FALSE,m,,
82,Chemistry  ,Prof.,Christopher,,Cahill,,"For distinguished contributions to inorganic chemistry, particularly the synthesis and structural characterization of f-element hybrid materials, including public and cross-disciplinary dissemination.",Christopher Cahill,,FALSE,m,,
83,Geology & Geography,Prof.,Kim,M.,Cobb,,For distinguished service to the field of paleoclimatology and in outreach and education to foster a new generation of earth scientists who are engaged with the real world.,Kim Cobb,,TRUE,f,2016,(jesswade)
84,Physics ,Prof.,Carlos,A.R.,Sa de Melo,,"For seminal contributions to superconductivity and superfluidity, particularly the crossover from BCS superconductivity to Bose-Einstein condensation in ultra-cold atoms and for communicating these advances to students and the public.",Carlos Sa de Melo,,FALSE,m,,
85,"Information, Computing & Communication",Dr.,Eric,Allen,Brewer,,For pioneering research in cloud infrastructure and the deployment of technology for developing regions.,Eric Brewer,,TRUE,m,2007,
86,Medical Sciences,Dr.,Joseph,,Bonventre,,"For research on kidney injury that  identified KIM-1, a protein that promotes the scar tissue formation associated with chronic kidney disease, and developing functional kidney organoids.",Joseph Bonventre,,FALSE,m,,
87,Medical Sciences,Dr.,Paula,I.,Watnick,,"For studies of Vibrio cholerae biofilms that have led to a new approach to delivering antigens for vaccine development, and developing Drosophila as a model organism to study cholera.",Paula Watnick,,FALSE,f,,
88,Medical Sciences,Dr.,Dan,G. ,Duda,,"For using medical and biological research tools to reveal new mechanisms that underlie cancer treatment resistance and new ways to improve therapy, particularly using liver cancer models.",Dan Duda,,FALSE,m,,
89,"Social, Economic & Political Sciences",Prof.,Marcia,,Castro,,"For research on the geography and demographic distribution of tropical diseases, especially malaria, and the intersections of socioeconomic status, individual behavior, geography,and health.",Marcia Castro,,FALSE,f,,
90,Biological Sciences,Prof.,Hopi,Elisabeth,Hoekstra,,"For distinguished contributions to the field of evolutionary genetics, particularly at the genomic, developmental, organismal, and population levels.",Hopi Hoekstra,,TRUE,f,2015,
91,"Information, Computing & Communication ",Prof.,David,,Parkes,,For highly influential work at the intersection of multiagent systems and economics.,David Parkes,,TRUE,m,2020,
92,General Interest in Science & Engineering,Prof.,Yiu-ming,,Cheung,,"For distinguished contributions to the field of cluster analysis and visual computing, particularly for theoretical modeling and implementations towards new applications of artificial intelligence.",Yiu-ming Cheung,,FALSE,m,,
93,General Interest in Science & Engineering,Dr.,Steven,L.,Richardson,,"For significant advances in computational materials science and computational chemistry, for outstanding teaching and mentoring of young scientists, and for inspired outreach to students and public audiences",Steven Richardson,,FALSE,m,,
94,Physics ,Prof.,Thomas,Charles,Irving,,For distinguished contributions to the field of muscle diffraction and enabling the fields of synchrotron fiber diffraction and biological small angle scattering.,Thomas Irving,,FALSE,m,,
95,Psychology,Dr.,Jerome,,Busemeyer,,"For distinguished contributions to psychological science in the development and testing of computational models of cognition, particularly for dynamic models of decision-making and quantum models of cognition.",Jerome Busemeyer,,TRUE,m,2017,
96,Geology & Geography,Prof.,P.,David,Polly,,"For distinguished contribution to the field of vertebrate paleontology, particularly for original studies in morphometrics, for quantitative analyses in paleobiology, and for innovative studies on mammalian evolution.",P. Polly,,FALSE,m,,
97,Biological Sciences,Dr.,Mark,R.,Kelley,,"For distinguished contributions to the fields of molecular and translational biology, particularly the mechanisms of DNA damage and repair with emphasis on signaling proteins as therapeutic targets.",Mark Kelley,,FALSE,m,,
98,Medical Sciences,Prof.,David,Wade,Clapp,,"For distinguished contributions to the field of basic, translational and clinical investigation of neurofibromatosis, the most common inherited cancer predisposition syndrome.",David Clapp,,FALSE,m,,
99,Medical Sciences,Dr.,Harikrishna,,Nakshatri,,"For distinguished contributions to our understanding of the pathobiology of breast cancer and for important successes in identifying, validating, and exploiting new therapeutic targets in this disease.",Harikrishna Nakshatri,,FALSE,m,,
100,Medical Sciences,Dr.,Michael,A.,Weiss,,For distinguished contributions to molecular endocrinology through elucidation of the mechanism of insulin's protective hinge and transcriptional mechanisms in gonadal development and dysgenesis.,Michael Weiss,,FALSE,m,,
101,"Social, Economic & Political Sciences",Dr.,Alondra,,Nelson,,"For distinguished contributions to research, publication, and policy at the intersection of race, science, and society.",Alondra Nelson,,TRUE,f,2007,
102,Education,Dr.,Melissa,K.,Demetrikopoulos,,"For distinguished contributions to evaluation of programs that enhance STEM diversity, undergraduate and graduate education and for special contributions to gifted education.",Melissa Demetrikopoulos,,FALSE,f,,
103,Societal Impacts of Science & Engineering,Prof.,Junji,,Cao,,"For distinguished contributions to the research, mitigation, and public awareness of the health impacts of excessive quantities of atmospheric particulate matter.",Junji Cao,,FALSE,m,,
104,Physics ,Prof.,Changqing,,Jin,,"For distinguished contributions to condensed matter physics in areas of high-temperature superconductivity, ferromagnetism in semiconductors, and their behavior under extremely high pressures, high magnetic fields, and ultra-low temperatures.",Changqing Jin,,FALSE,m,,
105,Biological Sciences,Dr.,Diane,,Bassham,,"For distinguished contributions to the field of plant cell biology, particularly in studying cellular mechanisms of environmental stress tolerance in plants.",Diane Bassham,,FALSE,f,,
106,Biological Sciences,Dr.,Madan,K.,Bhattacharyya,,"For distinguished contributions to the field of plant-microbe interactions, particularly for understanding the interactions between soybean and its fungal and oomycete pathogens.",Madan Bhattacharyya,,FALSE,m,,
107,Biological Sciences,Dr.,Aaron,John,Gassmann,,"For distinguished contributions to the field of entomology, particularly for advances in understanding the evolution of resistance by insect pests and approaches to delay pest resistance to transgenic crops.",Aaron Gassmann,,FALSE,m,,
108,Statistics,Dr.,Sarah,,Nusser,,"For leadership in survey statistics, efforts to improve the reusability and impact of publicly accessible research data, and administrative leadership of research activities.",Sarah Nusser,,TRUE,f,2020,David Eppstein
109,Biological Sciences,Dr.,Nicole,,Valenzuela,,"For distinguished contributions to evolutionary biology, with a special focus on understanding the enigmatic phenomenon of temperature-dependent sex determination.",Nicole Valenzuela,,FALSE,f,,
110,Physics ,Prof.,James,P.,Vary,,"For distinguished contributions to our understanding of nuclear and hadronic structure, creating new computational frameworks for the many-body problem, and for fostering international collaboration in science.",James Vary,,FALSE,m,,
111,Chemistry  ,Prof.,David,P.,Goldberg,,"For distinguished contributions in inorganic and bioinorganic chemistry, particularly for modeling the structures and reactivity of metalloenzyme active sites and development of transition metal mediated small molecule activation and catalysis.",David Goldberg,,FALSE,m,,
112,Medical Sciences,Dr.,Sabra,L.,Klein,,"For distinguished contributions to the field of sex differences in immune function, virology, and vaccine efficacy, as well as for her service to related professional societies",Sabra Klein,,TRUE,f,2020,(Jesswade)
113,Biological Sciences,Dr.,Marc,,Ostermeier,,"For outstanding contributions to the principles of natural evolution, protein engineering, directed evolution, and protein evolution.",Marc Ostermeier,,FALSE,m,,
114,Medical Sciences,Dr.,William,W,Wright,,"For distinguished contributions to the field of male reproductive biology, particularly for paracrine regulation of germ cell development and homeostasis, and for outstanding teaching and mentorship contributions.",William Wright,,FALSE,m,,
115,Biological Sciences,Prof.,Deborah,,Andrew,,"For contributions to the field of developmental biology, particularly for enhancing our understanding of organ specification, and the morphological and physiological specialization of epithelial secretory organs.",Deborah Andrew,,FALSE,f,,
116,Pharmaceutical Sciences,Prof.,Namandjé,N.,Bumpus,,For distinguished contributions to the field of drug metabolism and the translation of studies on drug metabolism in vitro to the prediction of in vivo metabolism of drugs in humans.,Namandjé Bumpus,,TRUE,f,2019,(biochemlife)
117,Medical Sciences,Dr.,Elizabeth,Marion,Jaffee,,"For her research on pancreatic cancer, particularly characterizing the tumor microenvironment, and her significant advances in developing an effective immunotherapy.",Elizabeth Jaffee,,TRUE,f,2017,
118,Geology & Geography,Dr.,Marcellus,M.,Caldas,,For distinguished contributions to the field of land use and land cover change.,Marcellus Caldas,,FALSE,m,,
119,Anthropology ,Prof.,Mary Ann,,Raghanti,,For unique and distinguished contributions to biological anthropology and our knowledge and understanding of the origin and evolution of human and primate behavior.,Mary Ann Raghanti,,FALSE,f,,
120,"Information, Computing & Communication ",Dr.,Yong,,Rui,,"For distinguished contributions to the field of multimedia computing and AI applications, particularly in multimedia analysis, retrieval and understanding.",Yong Rui,,TRUE,m,2017,
121,Geology & Geography,Dr.,Samuel,J.,Bentley,Sr.,"For distinguished contributions to the field of sedimentary geology, particularly for the study of event sedimentation, bioturbation, and mud dispersal in estuarine and inner-shelf environments.",Samuel Bentley,,FALSE,m,,
122,Education,Dr.,Zakiya,S.,Wilson-Kennedy,,"For distinguished contributions to leadership, evaluation and development of programs to diversify STEM education in undergraduate and graduate programs.",Zakiya Wilson-Kennedy,,FALSE,f,,
123,Chemistry  ,Prof.,Mircea,,Dinc?,,"For distinguished contributions to materials chemistry, especially for pioneering the area of electrically conductive metal-organic frameworks to address challenges in energy and the environment.",Mircea Dinc?,,TRUE,m,2018,
124,Neuroscience,Dr.,Guoping,,Feng,,For major contributions to understanding the mechanisms regulating the development and function of synapses in cortico-striatal-thalamo-cortical circuits and how dysfunction of these circuits contributes to neurodevelopmental and psychiatric illness.,Guoping Feng,,TRUE,m,2016,
125,Medical Sciences,Prof.,Ian,W.,Hunter,,"For his work using micro-instrumentation, microfabrication, and microrobotics to develop and improve medical devices, and also for his innovative courses for undergraduates.",Ian Hunter,,FALSE,m,,
126,Physics ,Dr.,David,H.,Shoemaker,,"For distinguished leadership of the Advanced LIGO Project; for guiding the LSC during the detection of LIGO’s first binary neutron star coalescence, heralding the era of multi-messenger gravitational wave astronomy.",David Shoemaker,,FALSE,m,,
127,Engineering,Prof.,Evelyn,Ning-Yi,Wang,,"For fundamental contributions in understanding and enhancing liquid-vapor phase change processes via novel nanoengineered materials design and technological advancements in thermal management, solar thermal energy and water harvesting devices.",Evelyn Wang,,TRUE,f,2018,
128,Mathematics,Dr.,Helene,,Barcelo,,"For distinguished contributions to foundational and applied mathematics, in particular algebraic combinatorics, and service to the profession.",Helene Barcelo,,FALSE,f,,
129,Medical Sciences,Prof.,Peter,H.,Seeberger,,For developing automated carbohydrate synthesis and using synthetic carbohydrates to explore the role of glycans in biological processes and to develop vaccines and diagnostics for bacterial pathogens.,Peter Seeberger,,TRUE,m,2017,
130,Medical Sciences,Dr.,Lewis,R.,Roberts,,"For distinguished contributions to the research of hepatobiliary cancers, as well as his commitment to bringing science to underserved communities.",Lewis Roberts,,FALSE,m,,
131,Neuroscience,Dr.,Alexandra,Leigh,Joyner,,For distinguished contributions to the field of and pioneering studies in developmental biology of the mammalian brain and how endogenous stem cells can contribute to neural repair.,Alexandra Joyner,,FALSE,f,,
132,Biological Sciences,Dr.,Ming,,Li,,"For distinguished contribution to the field of immunology, particularly using mouse models to study immune regulation and immunotherapy for cancer.",Ming Li,,FALSE,m,,
133,Medical Sciences,Dr.,Kenneth,,Offit,,"For wide-ranging studies discovering genetic bases of breast, colon and lymphoid cancers and for research into ethical application of new technologies and interventions for prevention and conservative management of cancer.",Kenneth Offit,,TRUE,m,2013,
134,"Information, Computing & Communication ",Prof.,Yann,,LeCun,,For distinguished contributions to deep learning and advanced artificial intelligence.,Yann LeCun,,TRUE,m,2009,
